name,site,subtypes,category,type,borough,street,city,postal_code,us_state,latitude,longitude,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,verified,location_link,place_id,google_id
PEG Property Group,https://pegcompanies.com/portfolio/%3Fcategory%3Dmulti_family%26doing_wp_cron%3D1652294773.1749820709228515625000,Apartment rental agency,Apartment rental agency,Apartment rental agency,Downtown,145 W 200 N,Provo,84601.0,Utah,40.236138,-111.6608266,3.2,18,8,0,0,0,10,35,True,"https://www.google.com/maps/place/PEG+Property+Group/@40.236138,-111.6608266,14z/data=!4m8!1m2!2m1!1sPEG+Property+Group!3m4!1s0x874d9185440f2477:0x70670607ef344b24!8m2!3d40.236138!4d-111.6608266",ChIJdyQPRIWRTYcRJEs07wcGZ3A,0x874d9185440f2477:0x70670607ef344b24
High Line Square,https://www.highlinesquare.com/,Apartment building,Apartment building,Apartment building,Downtown,480 N Freedom Blvd,Provo,84601.0,Utah,40.2401141,-111.6617852,3.7,57,18,0,0,2,37,11,True,"https://www.google.com/maps/place/High+Line+Square/@40.2401141,-111.6617852,14z/data=!4m8!1m2!2m1!1sHigh+Line+Square!3m4!1s0x874d9172ac416563:0xe6e6940d6a4b64e6!8m2!3d40.2401141!4d-111.6617852",ChIJY2VBrHKRTYcR5mRLag2U5uY,0x874d9172ac416563:0xe6e6940d6a4b64e6
REMS Inc,https://www.remsinc.com/,Property management company,Property management company,Property management company,Downtown,1 E Center St # 310,Provo,84606.0,Utah,40.234046,-111.658382,3.1,95,41,4,1,4,45,4,True,"https://www.google.com/maps/place/REMS+Inc/@40.234046,-111.65838199999999,14z/data=!4m8!1m2!2m1!1sREMS+Inc!3m4!1s0x8752861e1afc4a51:0xa418a8b55ec38c24!8m2!3d40.234046!4d-111.65838199999999",ChIJUUr8Gh6GUocRJIzDXrWoGKQ,0x8752861e1afc4a51:0xa418a8b55ec38c24
The Meadows Apartments,,Apartment complex,Apartment complex,Apartment complex,Franklin South,653 W 700 S,Provo,84601.0,Utah,40.2245804,-111.6693542,3.7,10,2,1,0,2,5,16,False,"https://www.google.com/maps/place/The+Meadows+Apartments/@40.2245804,-111.6693542,14z/data=!4m8!1m2!2m1!1sThe+Meadows+Apartments!3m4!1s0x874d99fce9f0e15d:0xb17e0cb32d2fd12c!8m2!3d40.2245804!4d-111.6693542",ChIJXeHw6fyZTYcRLNEvLbMMfrE,0x874d99fce9f0e15d:0xb17e0cb32d2fd12c
Grandview Manor (1801 N & 1799 N -2 bldgs),http://grandviewmanorprovo.com/,"Apartment building, Apartment complex",Apartment complex,Apartment building,Grand View North,1801 N 950 W St,Provo,84604.0,Utah,40.2585685,-111.6755091,2.7,20,10,2,0,0,8,3,True,"https://www.google.com/maps/place/Grandview+Manor+%281801+N+%26+1799+N+-2+bldgs%29/@40.258568499999996,-111.6755091,14z/data=!4m8!1m2!2m1!1sGrandview+Manor+%281801+N+%26+1799+N+-2+bldgs%29!3m4!1s0x874d9a719f7a6031:0x70f3b99ed85d0477!8m2!3d40.258568499999996!4d-111.6755091",ChIJMWB6n3GaTYcRdwRd2J6583A,0x874d9a719f7a6031:0x70f3b99ed85d0477
Joseph Thomas Real Estate,https://www.josephthomas.us/%3Futm_source%3DGoogle%2520My%2520Business%26utm_medium%3DLink%26utm_campaign%3DGMB,Property management company,Property management company,Property management company,Downtown,39 W 300 N St,Provo,84601.0,Utah,40.2375365,-111.6593498,3.2,297,113,15,8,7,154,23,True,"https://www.google.com/maps/place/Joseph+Thomas+Real+Estate/@40.2375365,-111.6593498,14z/data=!4m8!1m2!2m1!1sJoseph+Thomas+Real+Estate!3m4!1s0x874d90aca72c5cc5:0x4ceaaba127ab55fa!8m2!3d40.2375365!4d-111.6593498",ChIJxVwsp6yQTYcR-lWrJ6Gr6kw,0x874d90aca72c5cc5:0x4ceaaba127ab55fa
Presidio Real Estate Property Management,http://www.presidiopm.com/,Property management company,Property management company,Property management company,North Park,495 N University Ave # 200,Provo,84601.0,Utah,40.2402162,-111.6589692,2.6,83,49,0,1,4,29,6,True,"https://www.google.com/maps/place/Presidio+Real+Estate+Property+Management/@40.2402162,-111.6589692,14z/data=!4m8!1m2!2m1!1sPresidio+Real+Estate+Property+Management!3m4!1s0x874d83288528965b:0x711310227483869a!8m2!3d40.2402162!4d-111.6589692",ChIJW5YohSiDTYcRmoaDdCIQE3E,0x874d83288528965b:0x711310227483869a
"TPM, Inc.",http://tpmrents.com/,"Real estate agency, Property management company",Property management company,Real estate agency,Riverside,2230 N University Pkwy STE 7A,Provo,84604.0,Utah,40.2631746,-111.6657894,2.7,359,178,9,18,39,115,20,True,"https://www.google.com/maps/place/TPM%2C+Inc./@40.2631746,-111.6657894,14z/data=!4m8!1m2!2m1!1sTPM%2C+Inc.!3m4!1s0x874d909d602ffeeb:0xaf5eca06004a44e!8m2!3d40.2631746!4d-111.6657894",ChIJ6_4vYJ2QTYcRTqQEYKDs9Qo,0x874d909d602ffeeb:0xaf5eca06004a44e
FCS Community Management (Provo),https://fcsutah.com/,Property management company,Property management company,Property management company,North Park,495 N University Ave #100,Provo,84601.0,Utah,40.240217,-111.658976,3.5,37,13,1,0,2,21,4,True,"https://www.google.com/maps/place/FCS+Community+Management+%28Provo%29/@40.240217,-111.658976,14z/data=!4m8!1m2!2m1!1sFCS+Community+Management+%28Provo%29!3m4!1s0x874d90ac18b3b4a5:0xa5b38d4216084de8!8m2!3d40.240217!4d-111.658976",ChIJpbSzGKyQTYcR6E0IFkKNs6U,0x874d90ac18b3b4a5:0xa5b38d4216084de8
Cinnamon Tree Apartments,https://www.cinnamontreeapts.com/,Apartment complex,Apartment complex,Apartment complex,Carterville,1285 Freedom Blvd 200 W,Provo,84604.0,Utah,40.25156,-111.6628299,3.7,227,37,13,24,63,90,50,True,"https://www.google.com/maps/place/Cinnamon+Tree+Apartments/@40.25156,-111.66282989999999,14z/data=!4m8!1m2!2m1!1sCinnamon+Tree+Apartments!3m4!1s0x874d90a108948385:0x3cbd435242fe996b!8m2!3d40.25156!4d-111.66282989999999",ChIJhYOUCKGQTYcRa5n-QlJDvTw,0x874d90a108948385:0x3cbd435242fe996b
Evolution Community Management,http://evolutionhoa.com/,Property management company,Property management company,Property management company,Downtown,363 N University Ave Suite 104,Provo,84601.0,Utah,40.2385911,-111.6592345,1.1,28,27,0,0,0,1,7,True,"https://www.google.com/maps/place/Evolution+Community+Management/@40.2385911,-111.6592345,14z/data=!4m8!1m2!2m1!1sEvolution+Community+Management!3m4!1s0x8752876adeacded7:0x17f8444d64b95239!8m2!3d40.2385911!4d-111.6592345",ChIJ196s3mqHUocROVK5ZE1E-Bc,0x8752876adeacded7:0x17f8444d64b95239
