datetime,keyword,trend_index
Nov 2006,Cristiano Ronaldo,15
Oct 2005,Johnny Depp,6
Jan 2014,Drake,52
Dec 2006,Cristiano Ronaldo,15
Jun 2008,Amber Heard,0
Feb 2014,Drake,43
Nov 2005,Johnny Depp,6
Jan 2007,Cristiano Ronaldo,16
Jul 2008,Amber Heard,1
Mar 2014,Drake,43
Dec 2005,Johnny Depp,5
Feb 2007,Cristiano Ronaldo,17
Apr 2014,Drake,50
Aug 2008,Amber Heard,1
Jan 2006,Johnny Depp,6
May 2014,Drake,38
Mar 2007,Cristiano Ronaldo,20
Sep 2008,Amber Heard,1
Jun 2014,Drake,41
Feb 2006,Johnny Depp,5
Apr 2007,Cristiano Ronaldo,25
Oct 2008,Amber Heard,0
Jul 2014,Drake,39
Mar 2006,Johnny Depp,5
May 2007,Cristiano Ronaldo,23
Aug 2014,Drake,42
Nov 2008,Amber Heard,0
Apr 2006,Johnny Depp,4
Jun 2007,Cristiano Ronaldo,17
Sep 2014,Drake,33
Dec 2008,Amber Heard,1
May 2006,Johnny Depp,4
Jul 2007,Cristiano Ronaldo,16
Oct 2014,Drake,40
Jan 2009,Amber Heard,1
Jun 2006,Johnny Depp,6
Aug 2007,Cristiano Ronaldo,14
Nov 2014,Drake,37
Sep 2007,Cristiano Ronaldo,17
Dec 2014,Drake,41
Jul 2006,Johnny Depp,14
Feb 2009,Amber Heard,1
Oct 2007,Cristiano Ronaldo,15
Jan 2015,Drake,34
Aug 2006,Johnny Depp,11
Mar 2009,Amber Heard,1
Nov 2007,Cristiano Ronaldo,14
Feb 2015,Drake,59
Sep 2006,Johnny Depp,7
Dec 2007,Cristiano Ronaldo,18
Apr 2009,Amber Heard,1
Mar 2015,Drake,42
Jan 2008,Cristiano Ronaldo,20
Oct 2006,Johnny Depp,6
May 2009,Amber Heard,1
Apr 2015,Drake,48
Nov 2006,Johnny Depp,5
Feb 2008,Cristiano Ronaldo,20
May 2015,Drake,36
Dec 2006,Johnny Depp,6
Jun 2009,Amber Heard,1
Mar 2008,Cristiano Ronaldo,20
Jan 2007,Johnny Depp,6
Jun 2015,Drake,37
Apr 2008,Cristiano Ronaldo,28
Feb 2007,Johnny Depp,5
Jul 2015,Drake,75
May 2008,Cristiano Ronaldo,35
Jul 2009,Amber Heard,1
Mar 2007,Johnny Depp,5
Aug 2015,Drake,67
Jun 2008,Cristiano Ronaldo,53
Apr 2007,Johnny Depp,4
Jul 2008,Cristiano Ronaldo,35
Sep 2015,Drake,67
Aug 2009,Amber Heard,1
Aug 2008,Cristiano Ronaldo,23
May 2007,Johnny Depp,7
Oct 2015,Drake,72
Sep 2008,Cristiano Ronaldo,22
Jun 2007,Johnny Depp,8
Nov 2015,Drake,56
Oct 2008,Cristiano Ronaldo,20
Dec 2015,Drake,52
Jul 2007,Johnny Depp,5
Nov 2008,Cristiano Ronaldo,21
Sep 2009,Amber Heard,1
Aug 2007,Johnny Depp,4
Dec 2008,Cristiano Ronaldo,25
Jan 2016,Drake,53
Jan 2009,Cristiano Ronaldo,29
Feb 2016,Drake,64
Sep 2007,Johnny Depp,4
Feb 2009,Cristiano Ronaldo,21
Mar 2016,Drake,44
Oct 2007,Johnny Depp,4
Oct 2009,Amber Heard,1
Mar 2009,Cristiano Ronaldo,22
Apr 2016,Drake,91
Nov 2007,Johnny Depp,4
Apr 2009,Cristiano Ronaldo,24
May 2016,Drake,98
Dec 2007,Johnny Depp,7
May 2009,Cristiano Ronaldo,33
Jun 2016,Drake,68
Jun 2009,Cristiano Ronaldo,53
Jan 2008,Johnny Depp,7
Jul 2016,Drake,68
Nov 2009,Amber Heard,1
Jul 2009,Cristiano Ronaldo,45
Feb 2008,Johnny Depp,6
Aug 2009,Cristiano Ronaldo,29
Aug 2016,Drake,74
Mar 2008,Johnny Depp,5
Sep 2009,Cristiano Ronaldo,26
Sep 2016,Drake,58
Apr 2008,Johnny Depp,5
Oct 2009,Cristiano Ronaldo,28
Oct 2016,Drake,66
Dec 2009,Amber Heard,1
May 2008,Johnny Depp,4
Nov 2009,Cristiano Ronaldo,26
Nov 2016,Drake,48
Dec 2009,Cristiano Ronaldo,29
Jun 2008,Johnny Depp,5
Jan 2010,Amber Heard,1
Jan 2010,Cristiano Ronaldo,29
Dec 2016,Drake,55
Jul 2008,Johnny Depp,4
Feb 2010,Cristiano Ronaldo,26
Feb 2010,Amber Heard,1
Jan 2017,Drake,47
Aug 2008,Johnny Depp,4
Mar 2010,Cristiano Ronaldo,29
Mar 2010,Amber Heard,1
Feb 2017,Drake,41
Apr 2010,Cristiano Ronaldo,37
Sep 2008,Johnny Depp,4
Apr 2010,Amber Heard,1
Mar 2017,Drake,59
May 2010,Cristiano Ronaldo,40
Oct 2008,Johnny Depp,4
Jun 2010,Cristiano Ronaldo,77
Apr 2017,Drake,44
May 2010,Amber Heard,1
Nov 2008,Johnny Depp,4
May 2017,Drake,38
Jul 2010,Cristiano Ronaldo,64
Jun 2010,Amber Heard,1
Dec 2008,Johnny Depp,4
Jun 2017,Drake,41
Aug 2010,Cristiano Ronaldo,30
Jul 2010,Amber Heard,1
Jul 2017,Drake,31
Jan 2009,Johnny Depp,4
Sep 2010,Cristiano Ronaldo,27
Aug 2017,Drake,28
Aug 2010,Amber Heard,1
Oct 2010,Cristiano Ronaldo,28
Feb 2009,Johnny Depp,3
Sep 2017,Drake,26
Sep 2010,Amber Heard,1
Nov 2010,Cristiano Ronaldo,32
Oct 2017,Drake,26
Mar 2009,Johnny Depp,3
Oct 2010,Amber Heard,1
Dec 2010,Cristiano Ronaldo,30
Nov 2017,Drake,28
Nov 2010,Amber Heard,1
Jan 2011,Cristiano Ronaldo,29
Apr 2009,Johnny Depp,4
Dec 2017,Drake,27
Feb 2011,Cristiano Ronaldo,28
May 2009,Johnny Depp,4
Dec 2010,Amber Heard,3
Jan 2018,Drake,32
Mar 2011,Cristiano Ronaldo,25
Jun 2009,Johnny Depp,6
Jan 2011,Amber Heard,1
Apr 2011,Cristiano Ronaldo,33
Jul 2009,Johnny Depp,7
May 2011,Cristiano Ronaldo,35
Feb 2018,Drake,38
Feb 2011,Amber Heard,6
Aug 2009,Johnny Depp,5
Jun 2011,Cristiano Ronaldo,26
Sep 2009,Johnny Depp,4
Mar 2011,Amber Heard,3
Jul 2011,Cristiano Ronaldo,23
Mar 2018,Drake,38
Aug 2011,Cristiano Ronaldo,26
Oct 2009,Johnny Depp,5
Apr 2011,Amber Heard,2
Sep 2011,Cristiano Ronaldo,27
Nov 2009,Johnny Depp,6
Apr 2018,Drake,42
Oct 2011,Cristiano Ronaldo,26
Dec 2009,Johnny Depp,6
May 2011,Amber Heard,2
Nov 2011,Cristiano Ronaldo,31
Jun 2011,Amber Heard,3
Jan 2010,Johnny Depp,10
May 2018,Drake,55
Dec 2011,Cristiano Ronaldo,32
Jul 2011,Amber Heard,3
Feb 2010,Johnny Depp,7
Jun 2018,Drake,61
Jan 2012,Cristiano Ronaldo,29
Aug 2011,Amber Heard,2
Jul 2018,Drake,79
Sep 2011,Amber Heard,2
Aug 2018,Drake,50
Feb 2012,Cristiano Ronaldo,31
Mar 2010,Johnny Depp,9
Oct 2011,Amber Heard,3
Sep 2018,Drake,43
Mar 2012,Cristiano Ronaldo,30
Apr 2010,Johnny Depp,6
Nov 2011,Amber Heard,3
Oct 2018,Drake,39
Nov 2018,Drake,32
Dec 2011,Amber Heard,2
Apr 2012,Cristiano Ronaldo,40
May 2010,Johnny Depp,5
Dec 2018,Drake,35
Jan 2012,Amber Heard,2
Jan 2019,Drake,33
May 2012,Cristiano Ronaldo,29
Jun 2010,Johnny Depp,5
Feb 2012,Amber Heard,3
Feb 2019,Drake,31
Jun 2012,Cristiano Ronaldo,53
Mar 2019,Drake,26
Mar 2012,Amber Heard,2
Jul 2010,Johnny Depp,5
Apr 2019,Drake,26
Jul 2012,Cristiano Ronaldo,30
Aug 2010,Johnny Depp,4
May 2019,Drake,29
Apr 2012,Amber Heard,2
Aug 2012,Cristiano Ronaldo,26
Jun 2019,Drake,34
Sep 2010,Johnny Depp,4
Sep 2012,Cristiano Ronaldo,39
May 2012,Amber Heard,2
Jul 2019,Drake,24
Oct 2010,Johnny Depp,5
Oct 2012,Cristiano Ronaldo,30
Aug 2019,Drake,28
Jun 2012,Amber Heard,6
Nov 2010,Johnny Depp,5
Sep 2019,Drake,24
Jul 2012,Amber Heard,4
Nov 2012,Cristiano Ronaldo,32
Oct 2019,Drake,24
Aug 2012,Amber Heard,3
Dec 2010,Johnny Depp,8
Dec 2012,Cristiano Ronaldo,30
Nov 2019,Drake,27
Sep 2012,Amber Heard,2
Jan 2013,Cristiano Ronaldo,30
Jan 2011,Johnny Depp,7
Dec 2019,Drake,26
Feb 2013,Cristiano Ronaldo,32
Oct 2012,Amber Heard,2
Jan 2020,Drake,25
Feb 2011,Johnny Depp,6
Mar 2013,Cristiano Ronaldo,32
Feb 2020,Drake,22
Nov 2012,Amber Heard,2
Mar 2011,Johnny Depp,6
Apr 2013,Cristiano Ronaldo,33
Mar 2020,Drake,26
Dec 2012,Amber Heard,2
May 2013,Cristiano Ronaldo,32
Apr 2011,Johnny Depp,5
Apr 2020,Drake,32
Jan 2013,Amber Heard,3
Jun 2013,Cristiano Ronaldo,32
May 2020,Drake,30
May 2011,Johnny Depp,8
Feb 2013,Amber Heard,2
Jul 2013,Cristiano Ronaldo,28
Jun 2020,Drake,24
Jun 2011,Johnny Depp,7
Aug 2013,Cristiano Ronaldo,29
Mar 2013,Amber Heard,2
Jul 2020,Drake,26
Jul 2011,Johnny Depp,6
Aug 2020,Drake,26
Sep 2013,Cristiano Ronaldo,29
Apr 2013,Amber Heard,3
Aug 2011,Johnny Depp,7
Sep 2020,Drake,25
Oct 2013,Cristiano Ronaldo,28
May 2013,Amber Heard,3
Oct 2020,Drake,23
Sep 2011,Johnny Depp,6
Nov 2013,Cristiano Ronaldo,39
Jun 2013,Amber Heard,3
Nov 2020,Drake,22
Dec 2013,Cristiano Ronaldo,31
Oct 2011,Johnny Depp,8
Dec 2020,Drake,22
Jul 2013,Amber Heard,3
Jan 2014,Cristiano Ronaldo,43
Nov 2011,Johnny Depp,7
Jan 2021,Drake,21
Aug 2013,Amber Heard,3
Feb 2014,Cristiano Ronaldo,30
Feb 2021,Drake,21
